player_id,player_name,pos
1,LeBron James,SF
2,Kareem Abdul-Jabbar,C
3,Karl Malone,PF
4,Kobe Bryant,SG
5,Michael Jordan,SG
6,Dirk Nowitzki,PF/C
7,Wilt Chamberlain,C
8,Shaquille O'Neal,C
9,Carmelo Anthony,SF
10,Kevin Durant,SF/PF
11,Moses Malone,C
12,Elvin Hayes,PF/C
13,Hakeem Olajuwon,C
14,Oscar Robertson,PG
15,Dominique Wilkins,SF
16,Tim Duncan,PF/C
17,Paul Pierce,SF/SG
18,John Havlicek,SF/SG
19,Kevin Garnett,PF/C
20,Vince Carter,SG/SF
21,Alex English,SF
22,Reggie Miller,SG
23,Jerry West,PG/SG
24,James Harden,SG/PG
25,Patrick Ewing,C
26,Russell Westbrook,PG
27,Ray Allen,SG
28,Allen Iverson,SG/PG
29,Charles Barkley,PF
30,Robert Parish,C
31,Adrian Dantley,SF
32,Dwyane Wade,SG
33,Elgin Baylor,SF
34,Stephen Curry,PG
35,Clyde Drexler,SG
36,DeMar DeRozan,SG/SF
37,Chris Paul,PG
38,Gary Payton,PG
39,Larry Bird,SF/PF
40,Hal Greer,SG/PG
41,Walt Bellamy,C
42,Pau Gasol,C/PF
43,Bob Pettit,PF/C
44,David Robinson,C
45,George Gervin,SG/SF
46,LaMarcus Aldridge,PF/C
47,Mitch Richmond,SG
48,Joe Johnson,SG/SF
49,Tom Chambers,PF
50,Antawn Jamison,PF/SF
